PERMNO,date,TICKER,PRC,VOL
84398,22/02/2018,SPY,270.39999,110511290
84398,23/02/2018,SPY,274.70999,92766428
84398,26/02/2018,SPY,277.89999,86491406
84398,27/02/2018,SPY,274.42999,99099165
84398,28/02/2018,SPY,271.64999,121907767
84398,01/03/2018,SPY,267.70001,176855077
84398,02/03/2018,SPY,269.07999,139083217
84398,05/03/2018,SPY,272.19000,97307387
84398,06/03/2018,SPY,272.88000,79213163
84398,07/03/2018,SPY,272.78000,87063502
84398,08/03/2018,SPY,274.10001,66901150
84398,09/03/2018,SPY,278.87000,113625335
84398,12/03/2018,SPY,278.51999,71924793
84398,13/03/2018,SPY,276.72000,91968937
84398,14/03/2018,SPY,275.29999,105895079
84398,15/03/2018,SPY,275.00000,83433038
84398,16/03/2018,SPY,274.20001,100343673
84398,19/03/2018,SPY,270.48999,109208442
84398,20/03/2018,SPY,270.95001,59757271
84398,21/03/2018,SPY,270.42999,78709578
84398,22/03/2018,SPY,263.67001,148785916
84398,23/03/2018,SPY,258.04999,183534751
84398,26/03/2018,SPY,265.10999,141956102
84398,27/03/2018,SPY,260.60001,129941445
84398,28/03/2018,SPY,259.82999,146452306
84398,29/03/2018,SPY,263.14999,124244790
84398,02/04/2018,SPY,257.47000,186286343
84398,03/04/2018,SPY,260.76999,119956861
84398,04/04/2018,SPY,263.56000,123715339
84398,05/04/2018,SPY,265.64001,82652618
84398,06/04/2018,SPY,259.72000,179521209
84398,09/04/2018,SPY,261.00000,105442932
84398,10/04/2018,SPY,265.14999,105573736
84398,11/04/2018,SPY,263.76001,91140243
84398,12/04/2018,SPY,265.92999,68890480
84398,13/04/2018,SPY,265.14999,85079176
84398,16/04/2018,SPY,267.32999,63405287
84398,17/04/2018,SPY,270.19000,64682036
84398,18/04/2018,SPY,270.39001,57303857
84398,19/04/2018,SPY,268.89001,77655909
84398,20/04/2018,SPY,266.60999,99953133
84398,23/04/2018,SPY,266.57001,65557954
84398,24/04/2018,SPY,262.98001,112885452
84398,25/04/2018,SPY,263.63000,103840948
84398,26/04/2018,SPY,266.31000,67731942
84398,27/04/2018,SPY,266.56000,57053647
84398,30/04/2018,SPY,264.51001,82182324
84398,01/05/2018,SPY,264.98001,74203365
84398,02/05/2018,SPY,263.20001,86368943
84398,03/05/2018,SPY,262.62000,136311479
84398,04/05/2018,SPY,266.01999,91222075
84398,07/05/2018,SPY,266.92001,55304907
84398,08/05/2018,SPY,266.92001,67499247
84398,09/05/2018,SPY,269.50000,59666143
84398,10/05/2018,SPY,272.01999,72063931
84398,11/05/2018,SPY,272.85001,59871511
84398,14/05/2018,SPY,272.98001,54790606
84398,15/05/2018,SPY,271.10001,87036036
84398,16/05/2018,SPY,272.23999,53942631
84398,17/05/2018,SPY,272.01001,56536400
84398,18/05/2018,SPY,271.32999,64367959
84398,21/05/2018,SPY,273.37000,58025875
84398,22/05/2018,SPY,272.60999,52966358
84398,23/05/2018,SPY,273.35999,64694184
84398,24/05/2018,SPY,272.79999,76043827
84398,25/05/2018,SPY,272.14999,56374755
84398,29/05/2018,SPY,269.01999,115908607
84398,30/05/2018,SPY,272.60999,69678449
84398,31/05/2018,SPY,270.94000,93519941
84398,01/06/2018,SPY,273.60001,71258411
84398,04/06/2018,SPY,274.89999,45385166
84398,05/06/2018,SPY,275.10001,51135038
84398,06/06/2018,SPY,277.39999,62732215
84398,07/06/2018,SPY,277.37000,72969402
84398,08/06/2018,SPY,278.19000,72139719
84398,11/06/2018,SPY,278.56000,58892515
84398,12/06/2018,SPY,278.92001,72329028
84398,13/06/2018,SPY,278.03000,79070610
84398,14/06/2018,SPY,278.73001,77097620
84398,15/06/2018,SPY,277.13000,120041562
84398,18/06/2018,SPY,276.56000,52917581
84398,19/06/2018,SPY,275.50000,97531510
84398,20/06/2018,SPY,275.97000,53785486
84398,21/06/2018,SPY,274.23999,71061404
84398,22/06/2018,SPY,274.73999,56612003
84398,25/06/2018,SPY,271.00000,137854162
84398,26/06/2018,SPY,271.60001,68683211
84398,27/06/2018,SPY,269.35001,105110674
84398,28/06/2018,SPY,270.89001,76650517
84398,29/06/2018,SPY,271.28000,97592499
84398,02/07/2018,SPY,271.85999,63554774
84398,03/07/2018,SPY,270.89999,42187071
84398,05/07/2018,SPY,273.10999,56925919
84398,06/07/2018,SPY,275.42001,66493696
84398,09/07/2018,SPY,277.89999,50550399
84398,10/07/2018,SPY,278.89999,51966829
84398,11/07/2018,SPY,276.85999,77054739
84398,12/07/2018,SPY,279.37000,60124687
84398,13/07/2018,SPY,279.59000,48234964
84398,16/07/2018,SPY,279.34000,48201038
84398,17/07/2018,SPY,280.47000,52315500
84398,18/07/2018,SPY,281.06000,44593465
84398,19/07/2018,SPY,280.00000,61412117
84398,20/07/2018,SPY,279.67999,82372729
84398,23/07/2018,SPY,280.20001,47047565
84398,24/07/2018,SPY,281.60999,68026935
84398,25/07/2018,SPY,284.01001,78882927
84398,26/07/2018,SPY,283.34000,57919495
84398,27/07/2018,SPY,281.42001,76783177
84398,30/07/2018,SPY,279.95001,63742508
84398,31/07/2018,SPY,281.32999,68570493
84398,01/08/2018,SPY,280.85999,53853326
84398,02/08/2018,SPY,282.39001,63426363
84398,03/08/2018,SPY,283.60001,53935386
84398,06/08/2018,SPY,284.64001,39400887
84398,07/08/2018,SPY,285.57999,43196646
84398,08/08/2018,SPY,285.45999,42114551
84398,09/08/2018,SPY,285.07001,35716976
84398,10/08/2018,SPY,283.16000,77076044
84398,13/08/2018,SPY,282.10001,65732909
84398,14/08/2018,SPY,283.89999,43842031
84398,15/08/2018,SPY,281.78000,102925355
84398,16/08/2018,SPY,284.06000,69967919
84398,17/08/2018,SPY,285.06000,65618481
84398,20/08/2018,SPY,285.67001,39807490
84398,21/08/2018,SPY,286.34000,67271983
84398,22/08/2018,SPY,286.17001,44993333
84398,23/08/2018,SPY,285.79001,49204851
84398,24/08/2018,SPY,287.51001,57487399
84398,27/08/2018,SPY,289.78000,57072377
84398,28/08/2018,SPY,289.92001,46943472
84398,29/08/2018,SPY,291.48001,61485514
84398,30/08/2018,SPY,290.29999,61229501
84398,31/08/2018,SPY,290.31000,66140838
84398,04/09/2018,SPY,289.81000,57594367
84398,05/09/2018,SPY,289.03000,72452437
84398,06/09/2018,SPY,288.16000,65909863
84398,07/09/2018,SPY,287.60001,73524824
84398,10/09/2018,SPY,288.10001,50210903
84398,11/09/2018,SPY,289.04999,50530492
84398,12/09/2018,SPY,289.12000,59810758
84398,13/09/2018,SPY,290.82999,51034222
84398,14/09/2018,SPY,290.88000,55079875
84398,17/09/2018,SPY,289.34000,68244043
84398,18/09/2018,SPY,290.91000,61930407
84398,19/09/2018,SPY,291.22000,49080562
84398,20/09/2018,SPY,293.57999,100360646
84398,21/09/2018,SPY,291.98999,105479656
84398,24/09/2018,SPY,291.01999,53409645
84398,25/09/2018,SPY,290.75000,44370037
84398,26/09/2018,SPY,289.88000,79739674
84398,27/09/2018,SPY,290.69000,59249455
84398,28/09/2018,SPY,290.72000,70091385
84398,01/10/2018,SPY,291.73001,62078937
84398,02/10/2018,SPY,291.56000,47258227
84398,03/10/2018,SPY,291.72000,64694594
84398,04/10/2018,SPY,289.44000,111545910
84398,05/10/2018,SPY,287.82001,105951698
84398,08/10/2018,SPY,287.82001,87742172
84398,09/10/2018,SPY,287.39999,74338982
84398,10/10/2018,SPY,278.29999,214731042
84398,11/10/2018,SPY,272.17001,274840491
84398,12/10/2018,SPY,275.95001,183186492
84398,15/10/2018,SPY,274.39999,102263717
84398,16/10/2018,SPY,280.39999,118255834
84398,17/10/2018,SPY,280.45001,110625987
84398,18/10/2018,SPY,276.39999,134557525
84398,19/10/2018,SPY,276.25000,139901634
84398,22/10/2018,SPY,275.01001,82415812
84398,23/10/2018,SPY,273.60999,146352719
84398,24/10/2018,SPY,265.32001,177806697
84398,25/10/2018,SPY,270.07999,138061545
84398,26/10/2018,SPY,265.32999,201574596
84398,29/10/2018,SPY,263.85999,160749101
84398,30/10/2018,SPY,267.76999,157115995
84398,31/10/2018,SPY,270.63000,128296325
84398,01/11/2018,SPY,273.51001,99495037
84398,02/11/2018,SPY,271.89001,122634107
84398,05/11/2018,SPY,273.39001,65622482
84398,06/11/2018,SPY,275.12000,60085894
84398,07/11/2018,SPY,281.01001,102752099
84398,08/11/2018,SPY,280.50000,65584886
84398,09/11/2018,SPY,277.76001,98812561
84398,12/11/2018,SPY,272.57001,99673574
84398,13/11/2018,SPY,272.06000,98176610
84398,14/11/2018,SPY,270.20001,125335931
84398,15/11/2018,SPY,273.01999,135101437
84398,16/11/2018,SPY,273.73001,126668040
84398,19/11/2018,SPY,269.10001,103061706
84398,20/11/2018,SPY,264.12000,136021311
84398,21/11/2018,SPY,265.01999,75563743
84398,23/11/2018,SPY,263.25000,42807878
84398,26/11/2018,SPY,267.50000,79981362
84398,27/11/2018,SPY,268.39999,75502441
84398,28/11/2018,SPY,274.57999,127629633
